49,329-2-000033,´ê_ì§êµ ê³µì_ì£¼ì°¨,35.33663447,126.9840589,7
50,329-2-000034,_³µêµ__ ê³µì_ì£¼ì°¨,35.32369997,126.9821384,40
51,329-2-000035,´ì_êµ°ì²­ ¸ê·¼ ê³µì_ì£¼ì°¨,35.32173576,126.9861243,35
52,329-2-000036,ë°±ë_ë¦ ê³µì_ì£¼ì°¨,35.3114902,126.9821781,5
53,329-2-000037,ê°__4ì§êµ ê³µì_ì£¼ì°¨,35.32120691,126.9850688,5
54,329-2-000038,ì§ì¹5ì§êµ ê³µì_ì£¼ì°¨,35.31776927,126.985503,8
55,329-2-000039,__ë¦ ê³µì_ì£¼ì°¨,35.35208751,127.0532248,9
56,329-2-000040,ë°±ë__¸°ê¸ ê³µì_ì£¼ì°¨,35.30473305,126.9792941,12
57,329-2-000041,´ì___ ¸ê·¼ ê³µì_ì£¼ì°¨,35.32276064,126.9812531,16
58,329-2-000042,´ì£¼ë¦ ê³µì_ì£¼ì°¨,35.32238615,126.9813413,12
59,329-2-000043,ì¹_¦¬ ê³µì_ì£¼ì°¨,35.28126993,126.8865248,19
60,329-2-000044,´ì_____ ê³µì_ì£¼ì°¨,35.31725937,126.9846869,13
61,329-2-000045,ê°__ ¸ê·¼ ê³µì_ì£¼ì°¨,35.32248871,126.9844669,12
62,329-2-000046,ë°±ë_ë¦ ê³µì_ì£¼ì°¨,35.31121305,126.9828758,31
63,115-2-000012,ê³°ë__¬¸_³µì§¼í_,37.529059,126.848899,248
64,115-2-000013,ê°ë¡_³µ__ì§,37.537235,126.837038,500
65,115-2-000014,_³¡ë³-1,37.539703,126.849774,97
66,115-2-000015,_³¡1-1,37.531422,126.839875,98
67,115-2-000016,_³¡8-1,37.538512,126.848839,53
68,115-2-000017,_³¡8-2,37.537647,126.850353,110
69,157-1-000036,±ì_ë³¸ê¸¸¸ê·¼,NAN,NAN,13
70,157-1-000037,±ì_5ê¸¸ì_ê·,35.73069852,128.4465552,9
71,157-1-000038,©í_ì²6ê¸¸ì_ê·,35.72688677,128.4463846,19
72,157-1-000039,©í_ì²1ê¸¸ì_ê·,NAN,NAN,113
73,157-1-000040,__¨ì_ë¹~__¸ì_ì§,NAN,NAN,45
74,157-1-000041,ë¬¸ì__ê·,35.86395127,128.4353147,12
75,157-1-000042,__IC¸ê·¼,NAN,NAN,38
76,157-1-000043,ê°_²½ë¦¬ì_ê·,NAN,NAN,23
77,157-1-000044,êµ¬ì_ë¡__ê·,35.69653289,128.4429233,7
78,157-1-000045,ë¹__ë¡__ê·,NAN,NAN,74
79,157-1-000046,__ì²__ê¸¸ì_ê·,35.69523511,128.4471621,160
